SYSTEM_TAGS,n_issues
convention,151644
brain-overload,113127
design,62158
unused,44461
cwe,41794
clumsy,40006
bad-practice,36299
"cert,error-handling,suspicious",35188
"cert,cwe,error-handling",32023
style,25796
"misra,unused",22781
misra,17608
performance,16746
suspicious,16549
"bad-practice,cert",14979
"clumsy,redundant,unused",13944
"misra,pitfall",12377
cert,9349
"cert,misra,unused",8809
"cert,unused",8644
error-handling,7106
"cert,cwe",5279
"cert,pitfall",5169
obsolete,5137
"bad-practice,cert,cwe,error-handling",4908
"bad-practice,obsolete",4233
"cert,clumsy,error-handling",4179
"bad-practice,misra",3958
pitfall,3491
confusing,3471
"cwe,misra",3407
"clumsy,redundant",3072
"cert,cwe,misra,suspicious",2644
"cert,cwe,misra",2271
unused-code,2195
,2062
"obsolete,pitfall",1728
java8,1633
"cert,cwe,unpredictable",1321
"cwe,serialization",1250
"cert,cwe,misra,overflow,sans-top25-risky",749
"convention,pitfall",707
"serialization,unused",520
"cert,misra,pitfall",472
"cert,cwe,suspicious",460
"cert,cwe,hibernate,owasp-a1,sans-top25-insecure,sql",429
unpredictable,333
"cert,cwe,owasp-a2,sans-top25-porous",267
"cert,unpredictable",178
"cert,serialization",169
